Date,Close,Open,High,Low,Change %
2010-01-01,1.5071,1.5091,1.5104,1.5062,0.09%
2010-01-04,1.5013,1.5063,1.5076,1.4910,-0.38%
2010-01-05,1.4935,1.5005,1.5030,1.4906,-0.52%
2010-01-06,1.4869,1.4913,1.4948,1.4837,-0.44%
2010-01-07,1.4813,1.4863,1.4901,1.4764,-0.38%
2010-01-08,1.4850,1.4806,1.4887,1.4730,0.25%
2010-01-11,1.5003,1.4833,1.5030,1.4820,1.03%
2010-01-12,1.5071,1.4996,1.5092,1.4950,0.45%
2010-01-13,1.4962,1.5044,1.5089,1.4928,-0.72%
2010-01-14,1.4843,1.4948,1.4999,1.4823,-0.80%
2010-01-15,1.4809,1.4830,1.4852,1.4715,-0.23%
2010-01-18,1.4765,1.4768,1.4807,1.4731,-0.30%
2010-01-19,1.4739,1.4756,1.4789,1.4688,-0.18%
2010-01-20,1.4754,1.4738,1.4821,1.4667,0.10%
2010-01-21,1.4828,1.4755,1.4838,1.4712,0.50%
2010-01-22,1.4964,1.4813,1.4995,1.4790,0.92%
2010-01-25,1.4975,1.4973,1.5011,1.4893,0.07%
2010-01-26,1.4956,1.4956,1.5036,1.4914,-0.13%
2010-01-27,1.4915,1.4952,1.5001,1.4909,-0.27%
2010-01-28,1.4893,1.4933,1.4941,1.4792,-0.15%
2010-01-29,1.4831,1.4896,1.4927,1.4762,-0.42%
2010-02-01,1.4792,1.4836,1.4904,1.4777,-0.26%
2010-02-02,1.4772,1.4782,1.4817,1.4720,-0.14%
2010-02-03,1.4764,1.4767,1.4840,1.4731,-0.05%
2010-02-04,1.4729,1.4760,1.4776,1.4687,-0.24%
2010-02-05,1.4604,1.4740,1.4778,1.4583,-0.85%
2010-02-08,1.4682,1.4602,1.4688,1.4573,0.53%
2010-02-09,1.4721,1.4670,1.4784,1.4649,0.27%
2010-02-10,1.4591,1.4711,1.4728,1.4554,-0.88%
2010-02-11,1.4379,1.4597,1.4615,1.4332,-1.45%
2010-02-12,1.4316,1.4378,1.4387,1.4251,-0.44%
2010-02-15,1.4268,1.4308,1.4327,1.4220,-0.34%
2010-02-16,1.4377,1.4261,1.4383,1.4242,0.76%
2010-02-17,1.4230,1.4364,1.4394,1.4212,-1.02%
2010-02-18,1.4183,1.4233,1.4242,1.4153,-0.33%
2010-02-19,1.4156,1.4141,1.4232,1.4095,-0.19%
2010-02-22,1.4177,1.4152,1.4196,1.4106,0.15%
2010-02-23,1.4262,1.4177,1.4309,1.4128,0.60%
2010-02-24,1.4266,1.4266,1.4349,1.4251,0.03%
2010-02-25,1.4374,1.4257,1.4427,1.4209,0.76%
2010-02-26,1.4343,1.4361,1.4441,1.4308,-0.22%
2010-03-01,1.4135,1.4368,1.4379,1.4071,-1.45%
2010-03-02,1.4097,1.4115,1.4147,1.3967,-0.27%
2010-03-03,1.4127,1.4097,1.4152,1.4109,0.21%
2010-03-04,1.4004,1.4131,1.4146,1.3956,-0.87%
2010-03-05,1.4036,1.4001,1.4055,1.3913,0.23%
2010-03-08,1.4011,1.4013,1.4079,1.3984,-0.18%
2010-03-09,1.3960,1.4010,1.4018,1.3895,-0.36%
2010-03-10,1.4009,1.3955,1.4028,1.3923,0.35%
2010-03-11,1.4012,1.3997,1.4079,1.3967,0.02%
2010-03-12,1.4015,1.4007,1.4108,1.3963,0.02%
2010-03-15,1.3933,1.4008,1.4015,1.3921,-0.59%
2010-03-16,1.3965,1.3930,1.3981,1.3907,0.23%
2010-03-17,1.3871,1.3956,1.4002,1.3853,-0.67%
2010-03-18,1.3800,1.3865,1.3890,1.3771,-0.51%
2010-03-19,1.3769,1.3798,1.3867,1.3625,-0.22%
2010-03-22,1.3802,1.3739,1.3843,1.3716,0.24%
2010-03-23,1.3718,1.3803,1.3820,1.3700,-0.61%
2010-03-24,1.3658,1.3722,1.3733,1.3596,-0.44%
2010-03-25,1.3605,1.3648,1.3667,1.3567,-0.39%
2010-03-26,1.3777,1.3596,1.3818,1.3589,1.26%
2010-03-29,1.3764,1.3823,1.3833,1.3697,-0.09%
2010-03-30,1.3683,1.3757,1.3800,1.3648,-0.59%
2010-03-31,1.3720,1.3680,1.3779,1.3624,0.27%
2010-04-01,1.3700,1.3717,1.3742,1.3608,-0.15%
