Date,Close,Open,High,Low,Change %
2010-01-01,0.8860,0.8865,0.8873,0.8854,-0.02%
2010-01-04,0.8953,0.8856,0.8969,0.8851,1.05%
2010-01-05,0.8982,0.8953,0.9016,0.8941,0.32%
2010-01-06,0.8993,0.8981,0.9014,0.8922,0.12%
2010-01-07,0.8984,0.8997,0.9027,0.8976,-0.10%
2010-01-08,0.8994,0.8984,0.9008,0.8917,0.11%
2010-01-11,0.9012,0.8976,0.9029,0.8968,0.20%
2010-01-12,0.8961,0.9009,0.9028,0.8952,-0.57%
2010-01-13,0.8910,0.8959,0.8970,0.8890,-0.57%
2010-01-14,0.8881,0.8909,0.8939,0.8862,-0.33%
2010-01-15,0.8846,0.8876,0.8881,0.8807,-0.39%
2010-01-18,0.8806,0.8818,0.8835,0.8778,-0.45%
2010-01-19,0.8735,0.8804,0.8814,0.8710,-0.81%
2010-01-20,0.8658,0.8732,0.8740,0.8646,-0.88%
2010-01-21,0.8700,0.8654,0.8725,0.8650,0.49%
2010-01-22,0.8779,0.8695,0.8788,0.8683,0.91%
2010-01-25,0.8714,0.8788,0.8800,0.8700,-0.74%
2010-01-26,0.8720,0.8709,0.8756,0.8664,0.07%
2010-01-27,0.8673,0.8716,0.8733,0.8653,-0.54%
2010-01-28,0.8660,0.8668,0.8678,0.8598,-0.15%
2010-01-29,0.8664,0.8656,0.8695,0.8626,0.05%
2010-02-01,0.8728,0.8690,0.8771,0.8680,0.74%
2010-02-02,0.8739,0.8728,0.8766,0.8704,0.13%
2010-02-03,0.8740,0.8740,0.8770,0.8706,0.01%
2010-02-04,0.8720,0.8743,0.8761,0.8709,-0.23%
2010-02-05,0.8739,0.8712,0.8759,0.8684,0.22%
2010-02-08,0.8753,0.8761,0.8804,0.8726,0.16%
2010-02-09,0.8777,0.8758,0.8820,0.8749,0.27%
2010-02-10,0.8810,0.8775,0.8822,0.8739,0.38%
2010-02-11,0.8720,0.8808,0.8845,0.8697,-1.02%
2010-02-12,0.8678,0.8719,0.8729,0.8652,-0.48%
2010-02-15,0.8684,0.8682,0.8706,0.8666,0.07%
2010-02-16,0.8721,0.8682,0.8747,0.8674,0.43%
2010-02-17,0.8679,0.8718,0.8743,0.8666,-0.48%
2010-02-18,0.8714,0.8678,0.8724,0.8658,0.40%
2010-02-19,0.8800,0.8705,0.8804,0.8698,0.99%
2010-02-22,0.8782,0.8808,0.8820,0.8757,-0.20%
2010-02-23,0.8764,0.8777,0.8838,0.8747,-0.20%
2010-02-24,0.8784,0.8756,0.8815,0.8747,0.23%
2010-02-25,0.8878,0.8783,0.8895,0.8769,1.07%
2010-02-26,0.8934,0.8873,0.8977,0.8864,0.63%
2010-03-01,0.9044,0.8986,0.9153,0.8962,1.23%
2010-03-02,0.9094,0.9043,0.9104,0.9014,0.55%
2010-03-03,0.9071,0.9092,0.9103,0.9047,-0.25%
2010-03-04,0.9033,0.9068,0.9087,0.9014,-0.42%
2010-03-05,0.9000,0.9030,0.9050,0.8977,-0.37%
2010-03-08,0.9049,0.9003,0.9075,0.8992,0.54%
2010-03-09,0.9068,0.9045,0.9099,0.9043,0.21%
2010-03-10,0.9119,0.9068,0.9136,0.9058,0.56%
2010-03-11,0.9082,0.9117,0.9122,0.9059,-0.41%
2010-03-12,0.9062,0.9079,0.9113,0.9043,-0.22%
2010-03-15,0.9085,0.9075,0.9129,0.9043,0.25%
2010-03-16,0.9031,0.9081,0.9123,0.9009,-0.59%
2010-03-17,0.8970,0.9026,0.9069,0.8949,-0.68%
2010-03-18,0.8924,0.8964,0.8976,0.8912,-0.51%
2010-03-19,0.9016,0.8922,0.9022,0.8918,1.03%
2010-03-22,0.8978,0.9022,0.9046,0.8965,-0.42%
2010-03-23,0.8977,0.8975,0.9021,0.8962,-0.01%
2010-03-24,0.8954,0.8972,0.8983,0.8904,-0.26%
2010-03-25,0.8965,0.8951,0.8996,0.8895,0.12%
2010-03-26,0.9001,0.8961,0.9028,0.8952,0.40%
2010-03-29,0.8993,0.9020,0.9023,0.8966,-0.09%
2010-03-30,0.8902,0.8994,0.9002,0.8876,-1.01%
2010-03-31,0.8900,0.8899,0.8947,0.8867,-0.02%
2010-04-01,0.8881,0.8896,0.8905,0.8839,-0.21%
2010-04-02,0.8879,0.8879,0.8900,0.8864,-0.02%
2010-04-05,0.8820,0.8833,0.8863,0.8811,-0.66%
2010-04-06,0.8775,0.8815,0.8861,0.8762,-0.51%
2010-04-07,0.8755,0.8775,0.8821,0.8746,-0.23%
2010-04-08,0.8746,0.8753,0.8785,0.8735,-0.10%
2010-04-09,0.8780,0.8742,0.8787,0.8702,0.39%
2010-04-12,0.8840,0.8814,0.8851,0.8800,0.68%
2010-04-13,0.8851,0.8841,0.8864,0.8802,0.12%
2010-04-14,0.8826,0.8850,0.8866,0.8802,-0.28%
2010-04-15,0.8762,0.8824,0.8832,0.8747,-0.73%
2010-04-16,0.8788,0.8774,0.8804,0.8741,0.30%
2010-04-19,0.8792,0.8812,0.8845,0.8785,0.05%
2010-04-20,0.8742,0.8792,0.8804,0.8736,-0.57%
2010-04-21,0.8690,0.8734,0.8749,0.8679,-0.59%
2010-04-22,0.8638,0.8687,0.8700,0.8628,-0.60%
2010-04-23,0.8703,0.8631,0.8722,0.8604,0.75%
