Date,Close,Open,High,Low,Change %
2010-01-01,133.26,133.15,133.37,133.12,0.12%
2010-01-04,133.44,133.28,133.85,132.32,0.14%
2010-01-05,131.77,133.26,133.53,131.40,-1.25%
2010-01-06,133.09,131.71,133.54,131.21,1.00%
2010-01-07,133.59,132.98,133.72,132.32,0.38%
2010-01-08,133.53,133.50,134.17,132.38,-0.04%
2010-01-11,133.61,133.54,134.40,133.35,0.06%
2010-01-12,131.84,133.70,133.84,131.57,-1.32%
2010-01-13,132.64,131.77,133.25,131.45,0.61%
2010-01-14,132.24,132.61,133.65,131.65,-0.30%
2010-01-15,130.60,132.23,132.42,130.23,-1.24%
2010-01-18,130.59,130.14,130.98,130.02,-0.01%
2010-01-19,130.29,130.49,130.76,129.53,-0.23%
2010-01-20,128.69,130.21,130.40,128.34,-1.23%
2010-01-21,127.43,128.65,129.54,126.97,-0.98%
2010-01-22,127.12,127.43,128.24,126.50,-0.24%
2010-01-25,127.69,127.87,128.16,127.00,0.45%
2010-01-26,126.18,127.66,128.39,125.62,-1.18%
2010-01-27,126.22,126.11,126.43,125.17,0.03%
2010-01-28,125.53,126.09,127.11,125.03,-0.55%
2010-01-29,125.17,125.55,126.72,124.74,-0.29%
2010-02-01,126.26,124.47,126.56,124.43,0.87%
2010-02-02,126.20,126.17,126.74,125.74,-0.05%
2010-02-03,126.47,126.15,127.00,125.91,0.21%
2010-02-04,122.21,126.34,126.49,121.54,-3.37%
2010-02-05,122.09,122.17,123.36,120.64,-0.10%
2010-02-08,121.94,122.28,122.80,121.52,-0.12%
2010-02-09,123.62,121.86,124.24,121.59,1.38%
2010-02-10,123.52,123.62,124.31,122.62,-0.08%
2010-02-11,122.79,123.46,124.19,122.00,-0.59%
2010-02-12,122.60,122.87,123.12,121.33,-0.15%
2010-02-15,122.38,122.65,122.90,122.19,-0.18%
2010-02-16,124.08,122.37,124.52,122.25,1.39%
2010-02-17,124.27,124.07,124.88,123.35,0.15%
2010-02-18,124.22,124.10,124.49,122.69,-0.04%
2010-02-19,124.73,124.13,124.83,123.49,0.41%
2010-02-22,123.92,124.72,125.28,123.56,-0.65%
2010-02-23,121.88,123.87,124.56,121.53,-1.65%
2010-02-24,122.05,121.86,122.63,121.54,0.14%
2010-02-25,120.74,121.94,122.32,119.60,-1.07%
2010-02-26,121.10,120.74,121.69,120.45,0.30%
2010-03-01,120.82,121.04,121.94,120.00,-0.23%
2010-03-02,120.76,120.80,121.36,119.71,-0.05%
2010-03-03,121.18,120.89,121.77,120.58,0.35%
2010-03-04,120.98,121.14,121.84,120.26,-0.17%
2010-03-05,123.00,121.04,123.34,120.81,1.67%
2010-03-08,123.03,123.26,123.94,122.78,0.02%
2010-03-09,122.37,123.07,123.18,121.40,-0.54%
2010-03-10,123.61,122.32,124.05,121.82,1.01%
2010-03-11,123.82,123.56,123.93,122.96,0.17%
2010-03-12,124.50,123.77,125.25,123.64,0.55%
2010-03-15,123.80,124.90,124.99,123.24,-0.56%
2010-03-16,124.37,123.68,124.62,123.17,0.46%
2010-03-17,124.04,124.22,125.11,123.86,-0.27%
2010-03-18,122.94,124.05,124.31,122.61,-0.89%
2010-03-19,122.54,122.91,123.38,122.19,-0.33%
2010-03-22,122.16,122.43,122.65,121.01,-0.31%
2010-03-23,122.11,122.17,122.64,121.69,-0.04%
2010-03-24,122.83,122.01,123.09,121.37,0.59%
2010-03-25,123.11,122.80,123.98,122.21,0.23%
2010-03-26,124.05,123.01,124.26,122.92,0.76%
2010-03-29,124.62,124.54,125.11,124.04,0.46%
2010-03-30,124.55,124.68,125.47,124.10,-0.06%
2010-03-31,126.31,124.51,126.58,124.38,1.41%
2010-04-01,127.50,126.22,127.58,125.89,0.94%
2010-04-02,127.76,127.45,127.96,126.80,0.20%
2010-04-05,127.19,127.79,127.83,126.88,-0.45%
2010-04-06,125.63,127.20,127.38,125.32,-1.23%
2010-04-07,124.56,125.56,126.19,124.40,-0.85%
2010-04-08,124.78,124.36,124.86,123.38,0.18%
2010-04-09,125.78,124.70,125.88,124.63,0.80%
2010-04-12,126.67,126.94,127.48,126.54,0.71%
2010-04-13,126.91,126.61,127.12,125.64,0.19%
2010-04-14,127.28,126.90,127.71,126.73,0.29%
2010-04-15,126.36,127.25,127.70,125.76,-0.72%
2010-04-16,124.43,126.32,126.48,123.81,-1.53%
2010-04-19,124.67,123.87,124.72,123.10,0.19%
2010-04-20,125.31,124.74,125.62,124.40,0.51%
2010-04-21,124.68,125.27,125.54,124.23,-0.50%
2010-04-22,124.22,124.69,125.18,123.25,-0.37%
2010-04-23,125.74,124.13,126.12,123.36,1.22%
2010-04-26,125.88,125.51,126.33,124.99,0.11%
2010-04-27,122.61,125.86,126.00,122.50,-2.60%
2010-04-28,124.28,122.43,125.00,122.38,1.36%
2010-04-29,124.34,124.28,124.97,123.70,0.05%
2010-04-30,124.78,124.55,126.04,124.33,0.35%
2010-05-03,124.75,125.28,125.46,123.92,-0.02%
2010-05-04,122.84,124.74,125.48,122.58,-1.53%
2010-05-05,120.32,122.79,123.42,119.89,-2.05%
2010-05-06,114.61,120.40,120.75,110.44,-4.75%
2010-05-07,116.88,114.65,118.63,113.57,1.98%
2010-05-10,119.26,119.47,122.34,118.05,2.04%
2010-05-11,117.31,119.32,119.45,116.83,-1.64%
2010-05-12,117.62,117.19,118.47,116.53,0.26%
2010-05-13,116.12,117.71,118.72,115.99,-1.28%
2010-05-14,114.34,116.00,117.07,113.46,-1.53%
2010-05-17,114.75,113.98,114.93,112.43,0.36%
2010-05-18,112.24,114.75,115.50,112.06,-2.19%
2010-05-19,113.92,112.13,114.00,110.81,1.50%
2010-05-20,111.69,114.05,114.12,109.46,-1.96%
2010-05-21,113.19,111.01,114.46,110.96,1.34%
2010-05-24,111.37,113.14,113.31,111.18,-1.61%
2010-05-25,111.67,111.37,111.72,108.78,0.27%
2010-05-26,109.32,111.74,111.83,109.25,-2.10%
2010-05-27,112.65,109.19,112.78,109.16,3.05%
2010-05-28,111.74,112.44,113.73,111.32,-0.81%
2010-05-31,112.28,111.68,112.93,111.54,0.48%
2010-06-01,111.28,112.22,112.84,109.72,-0.89%
2010-06-02,112.93,111.03,113.11,110.97,1.48%
2010-06-03,112.66,112.93,114.19,112.08,-0.24%
2010-06-04,110.08,112.59,113.41,109.35,-2.29%
2010-06-07,108.83,109.65,110.32,108.04,-1.14%
2010-06-08,109.61,108.90,110.09,108.30,0.72%
2010-06-09,109.41,109.59,110.60,108.82,-0.18%
2010-06-10,110.63,109.32,110.88,108.91,1.12%
2010-06-11,111.01,110.65,111.42,110.25,0.34%
2010-06-14,111.87,111.27,112.91,111.05,0.77%
2010-06-15,112.66,111.83,113.07,110.80,0.71%
2010-06-16,112.53,112.76,113.35,111.69,-0.12%
2010-06-17,112.66,112.36,113.25,111.60,0.12%
2010-06-18,112.35,112.53,112.88,111.87,-0.28%
2010-06-21,112.00,112.35,113.44,111.80,-0.31%
2010-06-22,111.10,112.15,112.50,110.81,-0.80%
2010-06-23,110.66,110.93,111.40,109.85,-0.40%
2010-06-24,110.46,110.76,111.03,109.50,-0.18%
2010-06-25,110.44,110.38,110.94,109.51,-0.02%
2010-06-28,109.73,110.50,110.84,109.54,-0.64%
2010-06-29,107.88,109.68,109.88,107.27,-1.69%
2010-06-30,108.19,107.82,109.16,107.63,0.29%
